titolo,autore,link,special
American Psycho,Mary Harron,https://it.wikipedia.org/wiki/American_Psycho_(film),FALSE
Captain Fantastic,Matt Ross,https://it.wikipedia.org/wiki/Captain_Fantastic,FALSE
Eternal Sunshine of the Spotless Mind,Michel Gondry,https://it.wikipedia.org/wiki/Se_mi_lasci_ti_cancello,FALSE
Marriage Story,Noah Baumbach,https://it.wikipedia.org/wiki/Storia_di_un_matrimonio,TRUE
The Meyerowitz Stories,Noah Baumbach,https://it.wikipedia.org/wiki/The_Meyerowitz_Stories,FALSE
Booksmart,Olivia Wilde,https://it.wikipedia.org/wiki/La_rivincita_delle_sfigate,FALSE
Mandy,Panos Cosmatos,https://it.wikipedia.org/wiki/Mandy_(film_2018),FALSE
Oldboy,Park Chan-wook,https://it.wikipedia.org/wiki/Old_Boy_(film_2003),TRUE
First Reformed,Paul Schrader,https://it.wikipedia.org/wiki/First_Reformed_-_La_creazione_a_rischio,FALSE
Il petroliere,Paul Thomas Anderson,https://it.wikipedia.org/wiki/Il_petroliere,TRUE
Green Book,Peter Farrelly,https://it.wikipedia.org/wiki/Green_Book_(film),FALSE
Once upon a time in Hollywood,Quentin Tarantino,https://it.wikipedia.org/wiki/C%27era_una_volta_a..._Hollywood,FALSE
Django Unchained,Quentin Tarantino,https://it.wikipedia.org/wiki/Django_Unchained,FALSE
Bastardi senza gloria,Quentin Tarantino,https://it.wikipedia.org/wiki/Bastardi_senza_gloria,FALSE
La iene,Quentin Tarantino,https://it.wikipedia.org/wiki/Le_iene_(film),FALSE
Kill Bill: Vol.1,Quentin Tarantino,https://it.wikipedia.org/wiki/Kill_Bill:_Volume_1,TRUE
Kill Bill: Vol.2,Quentin Tarantino,https://it.wikipedia.org/wiki/Kill_Bill:_Volume_2,TRUE
Pulp fiction,Quentin Tarantino,https://it.wikipedia.org/wiki/Pulp_Fiction,FALSE
Bojack Horseman,Raphael Bob-Waksberg,https://it.wikipedia.org/wiki/BoJack_Horseman,TRUE
Knives Out,Rian Johnson,https://it.wikipedia.org/wiki/Cena_con_delitto_-_Knives_Out,FALSE
Donnie Darko,Richard Kelly,https://it.wikipedia.org/wiki/Donnie_Darko,FALSE
Il gladiatore,Ridley Scott,https://it.wikipedia.org/wiki/Il_gladiatore,FALSE
Blade Runner,Ridley Scott,https://it.wikipedia.org/wiki/Blade_Runner,FALSE
Forrest Gump,Robert Zemeckis,https://it.wikipedia.org/wiki/Forrest_Gump,TRUE
La vita è bella,Roberto Benigni,https://it.wikipedia.org/wiki/La_vita_%C3%A8_bella_(film_1997),TRUE
Notting Hill,Roger Michell,https://it.wikipedia.org/wiki/Notting_Hill_(film),FALSE
The Florida Project,Sean Baker,https://it.wikipedia.org/wiki/Un_sogno_chiamato_Florida,TRUE
Peaky Blinders,Steven Knight,https://it.wikipedia.org/wiki/Peaky_Blinders,TRUE
Jojo Rabbit,Taika Waititi,https://it.wikipedia.org/wiki/Jojo_Rabbit,FALSE
Il sospetto,Thomas Vinterberg,https://it.wikipedia.org/wiki/Il_sospetto_(film_2012),FALSE
Joker,Todd Phillips,https://it.wikipedia.org/wiki/Joker_(film_2019),FALSE
Animali Notturni,Tom Ford,https://it.wikipedia.org/wiki/Animali_notturni_(film),FALSE
American History X,Tony Kaye,https://it.wikipedia.org/wiki/American_History_X,TRUE
Il cubo,Vincenzo Natali,https://it.wikipedia.org/wiki/Cube_-_Il_cubo,FALSE
Dumbo,Walt Disney,https://it.wikipedia.org/wiki/Dumbo_-_L%27elefante_volante,FALSE
Fantasia,Walt Disney,https://it.wikipedia.org/wiki/Fantasia_(film),FALSE
Fantasia 2000,Walt Disney,https://it.wikipedia.org/wiki/Fantasia_2000,FALSE
Il re leone,Walt Disney,https://it.wikipedia.org/wiki/Il_re_leone,TRUE
Grand Budapest Hotel,Wes Anderson,https://it.wikipedia.org/wiki/Grand_Budapest_Hotel,FALSE
L’isola dei cani,Wes Anderson,https://it.wikipedia.org/wiki/L%27isola_dei_cani_(film),FALSE
Fantastic Mr. Fox,Wes Anderson,https://it.wikipedia.org/wiki/Fantastic_Mr._Fox,TRUE
La favorita,Yorgos Lanthimos,https://it.wikipedia.org/wiki/La_favorita_(film_2018),FALSE
Il sacrificio del cervo sacro,Yorgos Lanthimos,https://it.wikipedia.org/wiki/Il_sacrificio_del_cervo_sacro,FALSE
